timestamp,x,y
1.75689e+09,-1.05775,-2.26871
1.75689e+09,-1.03133,-2.24731
1.75689e+09,-1.00107,-2.23691
1.75689e+09,-0.977371,-2.23324
1.75689e+09,-0.950746,-2.21271
1.75689e+09,-0.918383,-2.20351
1.75689e+09,-0.882367,-2.20311
1.75689e+09,-0.846924,-2.19899
1.75689e+09,-0.793953,-2.20864
1.75689e+09,-0.75568,-2.2169
1.75689e+09,-0.727823,-2.22989
1.75689e+09,-0.688229,-2.24472
1.75689e+09,-0.667349,-2.2395
1.75689e+09,-0.621546,-2.26107
1.75689e+09,-0.581363,-2.28927
1.75689e+09,-0.528518,-2.3232
1.75689e+09,-0.484808,-2.35537
1.75689e+09,-0.435617,-2.38906
1.75689e+09,-0.372298,-2.43647
1.75689e+09,-0.326923,-2.45821
1.75689e+09,-0.2855,-2.48167
1.75689e+09,-0.2855,-2.48167
1.75689e+09,-0.2855,-2.48167
1.75689e+09,-0.225904,-2.51661
1.75689e+09,-0.225904,-2.51661
1.75689e+09,-0.225904,-2.51661
1.75689e+09,-0.225904,-2.51661
1.75689e+09,-0.225904,-2.51661
1.75689e+09,-0.225904,-2.51661
1.75689e+09,-0.225904,-2.51661
1.75689e+09,-0.225904,-2.51661
1.75689e+09,-0.225904,-2.51661
1.75689e+09,-0.225904,-2.51661
1.75689e+09,-0.235856,-2.43714
1.75689e+09,-0.234211,-2.47296
1.75689e+09,-0.234211,-2.47296
1.75689e+09,-0.254822,-2.36628
1.75689e+09,-0.253684,-2.36383
1.75689e+09,-0.253684,-2.36383
1.75689e+09,-0.285751,-2.21354
1.75689e+09,-0.278115,-2.26537
1.75689e+09,-0.276184,-2.29669
1.75689e+09,-0.286691,-2.22809
1.75689e+09,-0.291462,-2.18466
1.75689e+09,-0.289509,-2.12443
1.75689e+09,-0.283138,-2.10109
1.75689e+09,-0.271264,-2.06689
1.75689e+09,-0.254816,-2.02701
1.75689e+09,-0.238664,-2.014
1.75689e+09,-0.210755,-1.98534
1.75689e+09,-0.171204,-1.96517
1.75689e+09,-0.141787,-1.9488
1.75689e+09,-0.106862,-1.94214
1.75689e+09,-0.0814574,-1.93449
1.75689e+09,-0.0500835,-1.93662
1.75689e+09,-0.0216539,-1.92933
1.75689e+09,0.00160999,-1.94639
1.75689e+09,0.0337492,-1.9495
1.75689e+09,0.0740211,-1.96869
1.75689e+09,0.109092,-1.97771
1.75689e+09,0.135796,-2.00521
1.75689e+09,0.162807,-2.01943
1.75689e+09,0.214466,-2.07989
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.241812,-2.11348
1.75689e+09,0.42633,-1.70746
1.75689e+09,0.360152,-1.74125
1.75689e+09,0.342342,-1.69834
1.75689e+09,0.33453,-1.66168
